Bundesland,TSO,TSO EIC code
Baden-Württemberg,TransnetBW,10YDE-ENBW-----N
Bayern,TenneT,10YDE-EON------1
Berlin,50Hz,10YDE-VE-------2
Brandenburg,50Hz,10YDE-VE-------2
Bremen,TenneT,10YDE-EON------1
Hamburg,50Hz,10YDE-VE-------2
Hessen,TenneT,10YDE-EON------1
Mecklenburg-Vorpommern,50Hz,10YDE-VE-------2
Niedersachsen,TenneT,10YDE-EON------1
Nordrhein-Westfalen,Amprion,10YDE-RWENET---I
Rheinland-Pfalz,Amprion,10YDE-RWENET---I
Saarland,Amprion,10YDE-RWENET---I
Sachsen,50Hz,10YDE-VE-------2
Sachsen-Anhalt,50Hz,10YDE-VE-------2
Schleswig-Holstein,TenneT,10YDE-EON------1
Thüringen,50Hz,10YDE-VE-------2
